task,embedding,kernel,R,R2,kendalltau,log_loss,SE
cut_secreted,X_only_sp_secretion_data_2_6.pkl,Matern5/2,-0.3799982444858817,-0.015127068298543378,-0.22811221860153008,179.17110517276532,1.2283410533144317
cut_secreted,X_only_sp_secretion_data_3_6.pkl,Matern5/2,-0.37592001998024865,-0.01496586417969259,-0.22719733002425122,179.1650861341796,1.2281459904072038
cut_secreted,X_sp_secretion_data_1_5.pkl,Matern5/2,-0.39661689182657844,-0.020607798501398378,-0.2683673160018001,179.48275557924615,1.2349729382483945
cut_secreted,X_small_2_4.pkl,Matern5/2,-0.45276258184918733,-0.030433155198856587,-0.2522042844698735,180.1903048358187,1.2468619808833963
cut_secreted,X_only_sp_secretion_data_1_5.pkl,Matern5/2,-0.45100874664144364,-0.02651028419039969,-0.28178568180189006,179.82004239949129,1.242115162817929
cut_secreted,X_sp_secretion_data_4_3.pkl,Matern5/2,-0.3761376437166611,-0.01497078757229442,-0.2259774785878794,179.1647636681427,1.2281519478931613
cut_secreted,X_only_sp_secretion_data_4_2.pkl,Matern5/2,-0.36872967193617123,-0.028273776265023143,-0.2210980728423921,179.92886856331796,1.2442490530274424
cut_secreted,X_small_4_7.pkl,Matern5/2,-0.381837629206615,-0.015271244621493318,-0.22705972896940435,179.18930323044168,1.2285155119629358
cut_secreted,X_only_sp_secretion_data_4_6.pkl,Matern5/2,-0.37223399610302327,-0.028096770443662544,-0.22475762715150754,179.9178710323575,1.2440348694795471
cut_secreted,X_original_2_7.pkl,Matern5/2,-0.1893287693309595,-0.059762419209238304,-0.029276434472923645,182.2223018020703,1.2823514680348258
cut_secreted,X_original_4_4.pkl,Matern5/2,-0.39005840352157745,-0.031008212105884114,-0.24549510156982848,180.12639159323467,1.247557820871269
cut_secreted,X_sp_secretion_data_5_5.pkl,Matern5/2,0.058029997734631425,-0.007830690603290558,0.029880106328563756,178.64386240394737,1.2195121681990058
cut_secreted,X_sp_secretion_data_5_2.pkl,Matern5/2,-0.02686212376938364,-0.026097290911591076,0.017839652952158693,179.5987984595331,1.241615425775202
cut_secreted,X_small_1_3.pkl,Matern5/2,-0.4175117430425202,-0.019341365028251678,-0.23085688433336668,179.45475406184752,1.2334405072110022
cut_secreted,X_only_sp_secretion_data_3_7.pkl,Matern5/2,-0.3761431656280306,-0.014976133108255851,-0.2278072557424371,179.16519889612684,1.2281584161880954
cut_secreted,X_only_sp_secretion_data_3_3.pkl,Matern5/2,-0.3761251325858863,-0.01497538642241536,-0.22719733002425122,179.16387200739948,1.2281575126707918
